投诉编号,投诉品牌,投诉车系,投诉车型,投诉简述,投诉问题,问题类型,投诉日期
20240420162054495050,奥迪,奥迪A6L,2017款 50 TFSI quattro 尊享型,2023年12月29日，我到辽宁鑫迪汽车销售服务有限公司做保养，消费了10144元，更换空调滤芯后，我发现空调有异味，风小！后来我到小红书上对比发现给我的单据是非原厂的，修理厂的朋友检查后告诉我，我的空调滤芯也是非原厂的，空调清洗剂也是非原厂的，给奥迪厂家400打电话，不给我解决，一直到现在，我申请董车帝帮帮，帮我讨个公道！谢谢！,配件争议,使用非原厂件,2024-04-20
20240420160057549799,哈弗,哈弗H7,2017款 红标H7 2.0T 自动豪华型,哈弗H7存在严重烧机油问题，最近7500车公里的保养周期内已经添加了近12升机油。质另外，在2020年7月27日，当车辆行驶网至43830公里时，因烧机油问题进行了机油称重，之后4S店更换了PCV阀。与众多车友沟通后发现，均存在烧机油现象，大家普遍认为这是该车辆本身的设计缺陷。近期，我前往铜陵4S店进行检查，确认车辆存在严重烧机油问题。然而，在向销售商与厂家反映情况后，他们以车辆已过保修期为由，拒绝提供免费维修服务（尽管质保期内全程都是在4S店进行维保的）。目前，车辆已行驶101500公里。值得注意的是，2020年7月27日因烧机油问题进行机油称重后，4S店更换了PCV阀，但并未解决烧机油的问题。这一点在质保期内就已存在，我认为厂家应对此负责。厂家服务人员态度极差。,发动机,烧机油,2024-04-20
20240420155848501014,奔驰,奔驰EQC,2021款 EQC 400 4MATIC,厂家根本就没有处理。,悬架系,其他,2024-04-20
20240420155510057525,奔驰,奔驰GLC,2024款 GLC 300 L 4MATIC 动感型 5座,我司在2024年3月16日购买了一辆梅赛德斯奔驰(详细型号见附件)，车牌号为:闽A939SS，短短一个月时间分别在3月22日和4月12日出现两次严重故障(故障报告见附件)，车辆熄火无法启动，在行驶中有极大的安全隐患。车辆已经返厂两次还没修好，厂家也无法查明故障原因，多次投诉都没有明确的答复，故意拖延，这样的质量和服务，这样的车谁还敢开，我司不愿拿人身安全冒险，诉求退换车辆。,发动机,启动困难,2024-04-20
20240420154054491009,凯迪拉克,凯迪拉克XT5,2018款 28E 四驱领先型,本人在19年6月份购买一台凯迪拉克XT5，当时销售人员告知厂家质保3年，强烈推荐购买厂家的2年延保，获取更长质保，使本车质保延长至5年。延保质保期限为2022年6月17日至2024年6月16日。 1、车辆在22年6月15日75280KM时，整车质保期间索赔了一次涨紧轮。 2、23年8月20日，里程98792KM时车辆动能储存器故障，进行了延保索赔。 3、2024年4月2日车辆提示助力系统故障，进4S店检查，4S店告知车辆说是车辆电子皮带驱动齿轮齿条转向故障，需要更换。查询后告知我有延保，可以索赔。但本次在索赔提交后一直没有结果，多次询问后4S店，表示本次索赔的备件大概需要33647.6元，厂家审批时间可能较长。直到4月12日，再次询问4S店，告知我厂家拒绝索赔，以21年9月至22年9月期间少一次4S保养为由拒绝承担索赔责任。本人表示上一次（23年8月20日的索赔也是延保索赔为什么没有问题，现在为什么强调缺少2年前的1次4S店保养。4S店人员表示不太清楚，可能因为本次维修费用高，所以拒绝索赔。 4、本人诉求，1：要求厂家履行延保责任，免费维修。2：车辆4月2日进店维修至今已经快20天因为4S店与厂家的沟通问题，迟迟不能将车辆维修好，要求提供代步车。根据三包政策车辆维修5天以上需要免费提供代步车。,转向系,助力消失,2024-04-20
20240420153852975099,本田,本田XR-V,2020款 1.5L CVT经典版,发动机漏机油事故，东风本田厂商和东风本田武汉友芝友太子湖店拒不承担发动机漏机油责任,发动机,漏机油,2024-04-20
20240420142750519955,比亚迪,汉,2023款 DM-i 冠军版 121KM 尊享型,动力电池故障，充电功率异常的慢。售后让更换电池，却不给任何补偿。发动机频繁自启动，车机卡顿，不推送最新系统升级。,动力电池及电源管理系统,充电故障,2024-04-20
20240420140955989998,丰田,雷凌,2018款 185T CVT尊贵版 国V,2018年7月18日在广汽丰田荣晖韶南店，购买了2018款丰田雷凌汽车，到2024年4月7日（总行驶里程13509公里），正常行驶过程中，仪表版发动机故障灯亮黄色了，汽车抖动变明显，深踩油门也只能以20-40公里时速低速行驶。4月8日到购车的4S店检修，电脑数据显示第3个气缸脱缸不工作，维修师傅检测了线路、火花塞，点火线圈都没有问题。判断是喷油嘴堵塞，做了动力还原（打掉瓶），问题没有改善，建议我更换4支喷油嘴（在电脑读取数据显示）另外3个缸都会有间隙脱缸的问题，建议我更换4支喷油嘴（1支579元，4支共2316元）。维修师傅和我说和我同期的同款车型喷油嘴是有点问题的，保修期内厂家是提供免费更换改良的喷油嘴的，他自己也是和我同款同期的车，他的就是喷油嘴有问题免费更换了改良的喷油嘴就没有问题了。4S店以的车超过了3年的保修期为理由不能免费更换喷油嘴，给我开了施工单，检查做动力还原，更换喷油嘴拆装进去支管等共报价3384元，让我签纸确认，然后向工厂订货。到了4月20日，4S告知工厂已经579元已经停产了，让我更换更高级别进口的2千多元1支的喷油嘴，4支零件费8千多元！连带人工接近1万元！,发动机,抖动,2024-04-20
20240420134756975348,本田,本田UR-V,2020款 370TURBO 四驱尊耀版,刚过保就告诉我发动机漏油，前几天去4S店检查了一下车子，检查师傅先是问了我车多久买的，后面去照了下发动机就说漏油了，打开了发动机上面的盖板一看油污还挺宽，粗看到的有两个面漏了。 这肯定不是突然出现的，没过保前去做保养要么师傅没检查，要么检查到了不说，现在等刚过了保马上说了，然后告诉我要换密封跟垫片啥的要几百块。,发动机,漏机油,2024-04-20
20240420131353549749,五菱汽车,五菱荣光新卡,2023款 2.0L双排加长版标准型LJM20B,刚开始门店推厂家，现在倒好，厂家又推给门店，厂家就不问问他们怎么处理的，这就是你们五菱车的售后吗,车身,部件开裂,2024-04-20
20240420130953521005,埃安,AION V,2024款 Plus 70 星耀版 三元锂,购买车辆才三个月，车辆驾驶室出现多处异响，4S店没检查问题,车身,异响,2024-04-20
20240420125798541011,别克,凯越,2015款 1.5L 自动经典型,别克凯越中控台翘起，属于汽车设计缺陷，看网上很多网友在2022年，2023年可以免费更换，厂家给予免费更换政策（含过质保），今天打电话咨询问4s店答复，免费更换的政策停止了，前期是实行过这个政策。前期坏的车主就给更换，后面一点坏的车主就不给更换吗，这不是歧视和区别对待。希望能予以解决。,附加设备,其他,2024-04-20
20240420125254495652,丰田,雷凌,2021款 185T CVT运动版,2022年7月购车，平时用车也不多就上下班用，没2年轮胎就开始磨损，轮胎外侧有明显的磨损痕迹，导致现在行驶中轮胎有一些杂音,轮胎和车轮,轮胎偏磨,2024-04-20
20240420125198974848,奥迪,奥迪A6L,2017款 45 TFSI quattro 运动型,购车至今全程在4s店保养维修，最后一次4s店保养以后行驶300公里出现机油灯报警，行驶3000公里左右出现强制熄火，拖车至维修店发现长期使用劣质机油发动机内形成大量机油泥，机油泥造成滤网堵塞，发动机粘缸发动机报废，该4S店拒不承认机油问题，服务态度极其恶劣，车辆不检查不处理，不回电。,发动机,其他,2024-04-20
20240420122699555556,本田,雅阁,2022款 锐·混动 2.0L 幻夜·锐智版,没解决,承诺不兑现,销售承诺不兑现,2024-04-20
20240420122554985556,本田,雅阁,2022款 锐·混动 2.0L 幻夜·锐智版,没解决,承诺不兑现,服务承诺不兑现,2024-04-20
20240420122550565652,本田,雅阁,2022款 锐·混动 2.0L 幻夜·锐智版,没解决,承诺不兑现,销售承诺不兑现,2024-04-20
20240420122198519756,雪佛兰,科沃兹,2018款 320 自动欣悦版,雪弗兰科沃兹行驶中转向沉重，异响，无法自动回正！最近情况越发严重，影响行驶安全！,转向系,异响,2024-04-20
20240420113898545353,别克,别克E5,2023款 先锋版,无人与我联系。,电气设备,其他,2024-04-20
20240420113754579810,别克,别克E5,2023款 先锋版,本人购买的别克E5，退车，厂家不退款。打厂家官方售后电话几十遍无人回复。,其他原因,设计缺陷,2024-04-20
20240420112955525357,领克,领克05,2020款 2.0TD 两驱耀Halo,转向异响，不给处理，存在安全隐患。车机升级后主动降噪功能缺失，不给降级，领克厂家赶紧出来处理，来回踢皮球，4s店跑了好多次了，白白浪费时间金钱,电气设备,其他,2024-04-20
20240420111955505451,哪吒汽车,哪吒S,2022款 增程版 1160km 后驱中版,车辆在行驶到两万多公里车辆在满电状态动能回收不介入时刹车方向盘抖动，三万公里12月份方向盘开始跑偏，过年期间去找安阳凯盛哪吒4s店去解决，刹车抖动依然没解决，4万公里高速110方向盘抖动，方向盘跑偏，4月去4s店去解决方式方向盘不居中，过了两天还是跑偏加抖动，现在跟4s店发微信。回都不回,转向系,抖动,2024-04-20
20240420110710257102,比亚迪,宋PLUS新能源,2021款 DM-i 100KM 四驱旗舰PLUS,车辆提车不到2年，行驶才2万公里左右，就换电池。电池作为新能源车的主要部件之一，在无任何人为破坏，且大部分时间用慢充的情况下，自己就有问题了，属于质量问题，还好是自己发现了，而不是在路上行驶的时候出现问题，耽误时间和用车，要求进行补偿,动力电池及电源管理系统,动力电池组故障,2024-04-20
20240420110052494954,捷途,捷途X90,2023款 子龙 2.0T DCT常胜版 7座,累计86次打400电话，客服只是说会登记，会反应相关部门解决，至今厂家区域技术人员不解决，厂家售后不解决，至今不肯未曾出面解决。,电气设备,其他,2024-04-20
20240420105354549850,丰田,凯美瑞,2008款 240G 豪华版,中控台坏了，出现油泥，发嗅,车身,部件开裂,2024-04-20
20240420105297979954,路虎,发现,2020款 3.0 SC V6 30周年特别版,路虎主机厂用系统维护的名义停止了原厂的车机sim卡的流量充值服务导致车辆app里相关功能不能正常使用，上一次购买流量充值功能就是先不能买经过投诉后又能买，由于最多只能一次买六个月，这次到期后购买又被以各种理由告知不能买让自己去买别的卡就是变相不提供服务，路虎原厂的服务2021年后续车辆就不用再另外购买流量充值等于是可以一直正常使用，对于我们这批老车主付费购买也就算了现在连购买都不让了，路虎主机厂这种行为就是对客户的不负责任，希望平台能和路虎上海总部联系指导他们正确对待客户的需求，提供一手车主完整的服务,电气设备,车载互联故障,2024-04-20
20240420104110097101,大众,帕萨特,2024款 380TSI 星空精英版,厂家 经销商都不承认喷漆 拒绝理赔,车身,车漆脱落,2024-04-20
20240420103210257505,大众,途观L,2022款 380TSI 自动四驱R-Line旗舰版7座,合同欺骗，欺骗定金5000元，至今未处理。,销售欺诈,与宣传不符,2024-04-20
20240420102251521005,大众,途观L,2022款 380TSI 自动四驱R-Line越享版7座,合同欺诈，欺骗订金1万元，至今未处理。,销售欺诈,变更价格,2024-04-20
20240420102051975799,斯柯达,柯迪亚克,2017款 TSI330 5座两驱舒适版,4s店提醒我配件到了，可以维修了。厂家将近一个月的时间内完全没有联系本人，这种生产售后态度怎么在国内市场生存下去，中国消费者看重品质和口碑，没个说法怕是过不去吧,传动系,脱挡,2024-04-20
20240420101954551005,本田,本田CR-V,2023款 240TURBO 两驱锋尚版 7座,因为这些原因我想卖掉车辆，我4月18打算去买车，谈好的价格去卖车，车商商量好的价格打算交定金时，查看车辆的记录，主要发现变速箱漏维修过且更换过方向机，导致我的车要比原来的车拆损5000块才愿意收，2个车商都是出价差不多同样的说法，现厂家不愿意退换车，也不愿意折损处理收车，现要求厂家合理赔偿因车辆质量问题维修导致车的贬值。,制动系,其他,2024-04-20
20240420101353565657,本田,皓影,2021款 240TURBO CVT两驱精英版,皓影天窗遮阳布卡扣断裂，遮阳布不能正常开合。网上查了一下又是本田全景天窗的通病，抖音和淘宝都有此问题的讲解和配件，虽然卡扣不值钱，但是安装很麻烦，希望厂家更换质量较好的卡扣，保证消费者正常权益。,附加设备,其他,2024-04-20
20240420101253579910,比亚迪,宋Pro新能源,2023款 冠军版 DM-i 110KM卓越型,EV模式发动机自启动、厂商降价，提车不到半年同等配置车型厂商降价幅度高达两万，没有给任何老车主补贴赔偿,发动机,其他,2024-04-20
20240420094857101555,现代,途胜,2015款 2.0L 自动两驱智能型,中控平台质量问题，出现大面积裂缝，呈蜘蛛网状,车身,部件开裂,2024-04-20
20240420094249499754,奥迪,奥迪A4L,2022款 45 TFSI quattro 臻选动感型,矩阵大灯质量问题，有彩虹斑。,车身,其他,2024-04-20
20240420094110152101,宝马,宝马X2,2021款 xDrive25i M越野套装,明明还没答复处理结果，为什么总显示处理成功，都快一个月了，还没更换，不管从哪里了解来的情况，开2万左右就更换刹车片，就是异常磨损，百度或有车的朋友了解来，没有这么短公里就要更换的，且就连宝马官网建议检查的公里都未到，明明本身刹车片和卡钳问题，偏要协商让我们承担费用，于理不合,制动系,刹车片异常磨损,2024-04-20
20240420092155975150,奥迪,奥迪A6L,2022款 45 TFSI quattro 尊享动感型,新车3000公里时开空调时会出现电流声，去华世通检查说是伺服电机的问题，中间更换了伺服电机，问题暂时解决，结果半年不到响声又出现，而且更大，并且空调有异味，中间多次去4s店无果，各种推卸责任，最后一次8月19日又去华世通协商，这次告诉我联系厂家，说是他们解决不了，可是每次给奥迪官方打电话又踢皮球给4s店，最后不了了之。4s店已领拖了好多次，他们工作人员各种打太极，不作为，投诉也不管用，根本明摆着欺诈消费者，希望有关部门能重视，还消费者公道,电气设备,空调异响,2024-04-20
20240420081510298515,雪佛兰,科鲁兹,2015款 1.5L 自动时尚导航版,2024年4月19号，汽车无法启动，联系保险公司救援，过来电瓶搭电启动，发现，后备箱，备胎下方和电瓶下面全是水，这个存在安全隐患，随后联系雪佛兰客服后，客服说汽车过保修了，登记后没下文了，关键我这个是汽车设计的缺陷问题，现在主要问题电瓶下面有水，有严重安全隐患，，我的诉求，希望解决安全隐患，,车身,漏水,2024-04-20
20240420064010298100,五菱汽车,五菱荣光EV,2020款 封窗版基本型2座300KM,要求厂家出了面回复设计缺陷问题！而不是、掩盖设计问题、把设计问题和售后更换另部件混为一体！推脱责任！,传动系,动力中断,2024-04-20
20240420034456101499,奔驰,奔驰E级,2023款 E 260 L,第一次沟通可以免费提供材料，然后就变卦了，车子2年35000公里怎么就不符合保修标准了？,制动系,抖动,2024-04-20
20240420020997971009,宝马,宝马3系,2020款 325Li M运动套装,23年11月份本人车辆在杭州元通之宝4s店维修后出现偏 磨轮胎 油耗增高 方向跑偏。四轮数据异常。 本人第一时间与4s店反映这个油耗增高的问题。 他们说车子时间久了就会这样 很正常 让我在使用一段时间 。我表示车辆到店油耗是正常的。不可能突然高2-3个油。他们表示让到就近经销商检修。车辆到我们阜阳的一家宝马4s店 检修后发现是4轮定位数据不对 导致的以上问题。 后与4s店工作人员沟通 索要预检单 与维修过程的 视频 一直被拒。并告知接待我的员工已经离职 无法提供预检单。视频也己经被覆盖 后在无任何回复。期间宝马客服电话打几百遍也是没有任何进展 我便去店内讨要说法 在这个过程中 我被店内工作人员推搡，辱骂，拉拽导致本人受伤以及名誉受损。没想到宝马这么大的品牌售后服务却如此恶劣。对待消费者简直丧心病狂，这种售后服务的品牌以后还有哪个消费者敢买？,服务态度,不解决问题,2024-04-20
20240419234910110197,雪佛兰,赛欧,2015款 赛欧3 1.5L 手动理想天窗版,拔插螺丝断裂，导致变速箱底壳打穿漏油，,传动系,其他,2024-04-19
20240419234051484850,比亚迪,秦PLUS,2023款 冠军版 DM-i 55KM领先型,一年不到，价格下降两万多，当时强制性买全险价格6千多，全车落地10.5万，送的行车记录仪还失灵，提车那天的一个销售说送两个抱枕，过了几天找接待我的销售要却说只当时只签一个，当时本人大二在校学生，没有固定的收入，销售给我串通贷款回访电话口供，以至于能通过贷款，希望厂家和经销商能够给我一个满意的解决方案！,销售欺诈,变更价格,2024-04-19
20240419231851499910,宝马,宝马X1,2020款 xDrive25Li 尊享型,刹车片异常磨损，存在严重质量问题。2021年6月11日，公里数17650公里时前后刹车报警提示更换，去4S店免费更换过了一次；但是在开到30000公里时前刹车片又报警提示，于2022年8月30日自费更换；后刹车片于2023年8月也自费更换了。目前开到47000多公里，前刹车片又报警提示更换。这一万多公里就报警属于严重异常情况，希望厂家能给出解决方案。,制动系,刹车片异常磨损,2024-04-19
20240419222098535656,福特,锐际,2020款 EcoBoost 245 两驱聪慧嘉享款,于14000公里减震漏油更换后去年38000公里又漏去检查后擦掉油渍行驶一段时间。现50000公里还是漏的。还有4个轮毂都有不同程度氧化，均有轮毂内部氧化，外表光滑。,悬架系,漏油,2024-04-19
20240419211151101525,比亚迪,宋Pro新能源,2023款 冠军版 DM-i 71KM领航型,2024年4月14号在济南车展比亚迪八间堡乾朝四S店，买了一辆比亚迪宋pro混动车，4月15号早晨开车时发现发动机盖上油漆凸凹，用手抚摸有感觉。我怀疑这是个问题车，做过修理。打电话发图片给比亚迪济南八间堡四s店，销售态度恶劣，不承认是质量问题。还不做鉴定，店大压人！我怀疑他们明知道是问题车，还隐瞒事实，故意销售。今天4月19号我想如果是今年的新车出现问题也就是这个问题，没想到是2023年11月份生产的，属于库存车。这样机盖出现凸凹小坑问题原因就找到了，以后还可能出现更严重的质量问题。销售工作人员应该告知消费者这是款库存车，消费者对买的车辆车况有知情权，明知道有问题，隐瞒事实真相，欺骗消费者！销售手段恶劣！,车身,车漆鼓包,2024-04-19
20240419205755100509,雪佛兰,迈锐宝XL,2022款 535T 自动锐动版,厂家和4S店都对此不问不顾，也没有联系过我。,发动机,启动困难,2024-04-19
20240419204950485050,长城,风骏5,2021款 2.0T柴油两驱超惠型大双排国VI GW4D20M,冀B3L31A，4月14号不着车拖进迁安新创汽车服务站，说换喷油嘴一系列配件，工时费让我出，我同意了，快点修上，着急用车。17号下午告诉我喷油器固定在气缸盖上的螺丝滑丝了，让我花钱，我一分钱也不出，车刚两年多，三万多公里，全车在保，为啥让我花钱换气缸盖？我车是公司车，公司的钱不是钱么？现在运营困难，谁不想少花钱，再说这也不是我的问题，这螺丝我们一下没动过，修车的时候，我们司机在跟前看着这，师傅松螺丝的时候就滑丝了，这不是产品质量是啥？下午打投诉电话认为是人为因素造成的，我不认可，我要求厂家进行产品质量鉴定，如果是产品质量问题，我要求长城公司赔付我这些天的误工费和租车费用。明天上午十点之前，如果还是不免费给我更换，我会找12315、视频曝光、找媒体及各大网红口诛笔伐长城公司。吃了网红这波福利，我也利用网络维护我公司的利益。,发动机,启动困难,2024-04-19
20240419204298539997,沃尔沃,沃尔沃XC90,2023款 B6 智雅豪华版 7座,1.车内共振：车速100km/h以上车内共振、异响，座椅抖动、方向盘抖动，中控、手扶箱、门板、地板抖动，异音刺耳。 处理过程：从试驾车拆件替换本人车辆前半轴、传动轴、轮胎轮毂、前刹车盘及羊角叉臂并无改善。沃尔沃厂家来技术指导判定，更换了本车辆传动轴，2根后半轴，四个刹车盘，四条轮胎，从新做四轮定位再试车基本没有改善。跟试驾车对比根本不是同一水平行驶品质！厂商及4s店给出结论是合理的震动范围，没有再修的理由！ 2.车机断网：都是突然发生断网，没有规律可循，重启车机后也不会恢复网络。恢复网络全靠偶然来网！ 本人诉求：更换新车或者退车！请质量监督部门监督核实！,转向系,抖动,2024-04-19
20240419195857525450,SWM斯威汽车,SWM斯威G01,2019款 1.5T 自动优UP 国VI,车存在的问题： 1、此车自从21年4月份开始，一直怠速不稳，并频繁出现加油不提速，发动机动力严重不足。多次去售后检查，均被告知发动机没有出现故障灯，不能确定问题为由，问题未能得到解决 2、从22年8月起，车发动机舱开始异响，23年8月份异响严重，车无法使用，经过本人强烈要求，售后只是处理了涡轮增压器，对于我提出的发动机问题并未解决。 3、23年6月起，汽车频繁出现短暂停留再行驶时车尾冒大量白烟、黑烟，加油车不走，发动机烧机油 4、车上空调制冷效果特别差。去售后检查，被售后告知是因为这台车原厂的设计有问题，娘胎带的病，压缩机功率太低，无法达到正常的制冷效果，他们没办法修理。 5、截止目前，经过多次交涉，这台车的各种质量问题未得到合理的解决处理，且对方服务态度和服务质量特别差，各种推诿，各种踢皮球。 备注：该厂家经常更换售后服务站，服务质量从未得到保障。,服务态度,不解决问题,2024-04-19
20240419195054564999,大众,朗逸,2023款 280TSI DSG星空满逸版,没有说给我根本性解决问题，只是说更换飞轮，换过以后还有声音就不管了，还有就是延长质保一年和两万公里。这都没有根本性去解决异响。我希望平台可以继续监督，我的诉求也就是解决异响。,传动系,异响,2024-04-19
20240419194899979952,大众,途昂,2023款 380TSI 四驱尊崇豪华版,厂商联系深圳宝安大兴4s店处理并说好的给延长多两年质保，结果只延长了一年，车子本身4年质保，现在是5年，厂商言行不一，未按实际承诺妥善办理，有背诚实守信原则，希望厂商能秉承公信，说到做到，质保至6年，真正让消费者买的放心用的安心。厂商回复每次都是尽快处理，结果连个电话也没，压根就没处理，敷衍了事吗？能不能办点实事？追加投诉这么多次还是尽快处理，这网站是摆设的吗？还是跟厂商一伙的！,发动机,漏机油,2024-04-19
20240419194399484848,本田,本田CR-V,2017款 240TURBO CVT两驱都市版,方向机异向并伴有略微抖动，4s店检修两次出的结果就是整套换，没有原因。后视镜加热两年前就坏了，去检修也说单单帮你拆下来检修就要几百块钱，故导致现在后视镜加热都是坏的，以上两个部件都是原装正厂的，没有更换，也没有事故导致这些部件受损。,电气设备,其他,2024-04-19
20240419194353515351,福特,蒙迪欧,2022款 改款 EcoBoost 245 ST-Line,车辆随车环保清单中声明显示此车的耐久里程为20万公里，但北京生态环保局车型目录中耐久里程为16万公里，经与承销商、厂家进行沟通，给出回复为符合全国环保标准的耐久里程为20万公里，但不符合北京市。 因随车环保清单中未体现特殊约定，如此资质数据除北京，那么我们认为此车在全国任何一个城市都满足耐久里程为20万公里，厂家目前不给予相关处理，导致车辆无法转入北京落户，此事件存在信息不统一问题，那么存在虚假销售，我无法联系到厂家，希望能协助处理此问题，如虚假信息要求假一赔三。,销售欺诈,与宣传不符,2024-04-19
20240419192899525110,雪佛兰,畅巡,2022款 星云版,质量问题造成我的车成了泡水的事故车，此事千真万确，厂家理应承担责任,附加设备,其他,2024-04-19
20240419192599575410,SWM斯威汽车,SWM斯威G01,2019款 1.5T 自动优UP 国VI,车存在的问题： 1、此车自从21年4月份开始，一直怠速不稳，并频繁出现加油不提速，发动机动力严重不足。多次去售后检查，均被告知发动机没有出现故障灯，不能确定问题为由，问题未能得到解决 2、从22年8月起，车发动机舱开始异响，23年8月份异响严重，车无法使用，经过本人强烈要求，售后只是处理了涡轮增压器，对于我提出的发动机问题并未解决。 3、23年6月起，汽车频繁出现短暂停留再行驶时车尾冒大量白烟、黑烟，加油车不走，发动机烧机油 4、车上空调制冷效果特别差。去售后检查，被售后告知是因为这台车原厂的设计有问题，娘胎带的病，压缩机功率太低，无法达到正常的制冷效果，他们没办法修理。 5、截止目前，经过多次交涉，这台车的各种质量问题未得到合理的解决处理，且对方服务态度和服务质量特别差，各种推诿，各种踢皮球。,发动机,烧机油,2024-04-19
20240419192197509753,比亚迪,海鸥,2023款 活力版,购买不到半年时间，车子居然官方降价 4000 元，而且礼品赠品超级丰厚，现恳请比亚迪销售门店做出相对补偿,其他原因,设计缺陷,2024-04-19
20240419185710197529,宝马,宝马1系,2022款 125i M运动曜夜版,没人处理,发动机,故障灯亮,2024-04-19
20240419184549531015,比亚迪,宋新能源,2019款 宋DM 1.5TID 智联锐动型,19年款宋DM，我于2022年12月8买了比亚迪推出的2年6万公里整车延保lite服务，新车质保是6年15万公里，购买后质保为8年21万公里，现在车辆才五年多15万一千公里，出现EV功能限制，4S店检测说电芯以外元器件题，厂家说电芯以外元器件不在保修范围，现在维修需要近2万的维修费，要求厂家按延保合同对电芯以外元器件免费维修。,动力电池及电源管理系统,EV功能受限,2024-04-19
20240419180054515755,丰田,雷凌,2021款 185T CVT豪华版,本人2021年7月份在广汽丰田椒江骏丰店购买，目前行驶里程45300公里，半年前大概在2023年9月份车辆蓄电池出现问题，当时行驶里程大概在39000公里左右，仪表会提示蓄电池充电中，一段时间后该提示自动消失，经常出现这个问题，当时并没有在意，以为是正常现象，现在蓄电池已经无法蓄电。4S店表示蓄电池已经超过质保期，不存在质量问题。原装蓄电池用了2年就出现问题，与其他同类型车辆相比蓄电池明显有问题。,电气设备,电池亏电,2024-04-19
20240419174056991021,宝骏,宝骏E200,2019款 250KM 智享版,车子行驶过程中电量还剩百分之27的时候突然失去动力，挂档失灵，曾经也出现多次类似情况，这次是第5次，距离最近的一次是今年三月份中旬，拖车到4s店检查之后说是电池包有问题，电池欠压1-3级，存在很大安全隐患，要求更换电池包却不予更换，各种推脱。希望能早点解决问题,电气设备,自动启停故障,2024-04-19
20240419172998999853,零跑汽车,零跑C10,2024款 210智享版,4.14提车，4.17早上开始出现解锁车辆后仪表和中控黑屏的情况，黑屏时车辆无法挂挡行驶。锁车等待十分钟之后再解锁后仪表和中控亮起，车辆可挂挡行驶，但行驶过程中仪表盘所有故障灯全亮，车速显示为0，停车锁车再解锁又黑屏，锁车等十分钟又亮起，行驶中故障灯又全亮。如此反复，不是黑屏车行驶不了，就是行驶过程中所有故障灯全亮。4.19开去售后，拿电脑检查，未检查出任何问题。无奈，工作人员拔掉电源线强制下电十分钟后，试了一圈未出现故障灯亮起情况，我开车回家，到家门口以后，又出现之前所有情况。联系售后，售后表示没有办法，需要反馈厂家，等厂家答复。联系官方客服，客服表示联系售后就行。,动力电池及电源管理系统,故障灯亮,2024-04-19
20240419172098974899,深蓝汽车,深蓝S7,2023款 200Max增程版,新车购买时，空调就没有暖风，来回多次检查，拆车发现新车 pm2.5 就是损坏的，第一次沟通后换配件维修，后续跑高速电用光后，用油跑空调冷暖风无法切换，多次联系售后店，来回多少次，厂家一直回复数据正常，车辆没有问题，然后冷处理，不处理，后续进行多次投诉，厂家才派人来检查，的确车辆有问题，但是也不告诉解决方案，就说后面给车辆升级，联系官方也一直不处理，一直拖，多次投诉无有效回复,电气设备,空调不制冷,2024-04-19
20240419170757515548,奇瑞,艾瑞泽8,2022款 1.6T DCT尚,新车半年左右时间蓄电池开始亏电，4s店测试说电池正常，让充一下电，前后几个月时间充了几次电都无法解决，后来电池模块升级了还是没用，现在说是电池问题，要换。我都是正常使用车辆，也没说是什么原因导致电池亏电存不住电，过质保了就说电池不行了，自费换,附加设备,其他,2024-04-19
20240419165953525399,吉利汽车,博瑞,2020款 1.5T MHEV 耀尊版,吉利汽车公司虚假宣传在18-21款吉利博瑞在购买时以及厂家使用说明书承诺车机终身提供OTA升级 截至目前2024年4月19日均未收到过任何吉利汽车公司的后台OTA车机升级服务 现诉求吉利公司履行承诺提供车机OTA升级方案并推送,销售欺诈,与宣传不符,2024-04-19
20240419164710155102,本田,本田e:NS1,2022款 e动版,没有人联系我，没有人联系我,动力电池及电源管理系统,动力电池组故障,2024-04-19
20240419162910152519,路虎,揽胜极光新能源,2022款 极光L P300e 插电式电动混合版,厂家刚才有联系，但只是跟以前说同样的话，并没有实质性的处理。,悬架系,锈蚀,2024-04-19
20240419162651515256,大众,ID.4 CROZZ,2021款 长续航PRO两驱版,车辆日间行车灯以及中间贯穿灯发黄变暗，去过4s店与工作人员交谈也承认是日间行车灯质量有问题，发黄变暗之后就会彻底不亮，但是需要上报打审批，经过近一个月申请打电话告知申请被驳回，无质量问题，不予更换并没有出具解决方案。严重怀疑现在厂家故意拖超出质保后彻底不亮不解决。,电气设备,车灯不亮,2024-04-19
20240419154748561005,奇瑞新能源,大蚂蚁,2020款 高能版,1.车辆后尾门玻璃数次开胶去售后处理过4次，仍然开胶无法根本解决！ 2.空调内翻版断裂造成副驾驶无暖风和冷风，以及脚底不论在什么模式都出风，售后居然不承认是质量问题！ 3.中控仪表抖动严重！ 4.续航里程严重下降，宣传510公里，实际跑380公里！！！ 5.经查搜不到网络信号，听歌时断断续续！ 6.原厂轮胎偏磨，3年就跟换了全车轮胎原厂轮胎老化严重！ 7.更换轮胎时发现里面避震的胶套老化严重！ 以上都是证明奇瑞电动车质量把控太差太差，各种大小问题特别特别多！太失望了,车身,其他,2024-04-19
20240419154551494810,起亚,嘉华,2021款 2.0T 豪华尊享款,厂家无解决方案，依然拒赔,车身,锈蚀,2024-04-19
20240419152310097505,哈弗,哈弗H7,2017款 红标H7 2.0T 自动豪华型,该车辆本身的设计缺陷,发动机,烧机油,2024-04-19
